city,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_direction,sunrise,sunset
Paris,10.37,8.87,9.59,11.59,1026,54,7.72,40,2023-04-03 07:24:51,2023-04-03 20:22:48
Marseille,16.92,15.71,13.97,17.59,1011,40,4.92,232,2023-04-03 07:16:58,2023-04-03 20:05:29
Lyon,7.34,6.3,5.75,7.61,1020,85,1.79,88,2023-04-03 07:18:42,2023-04-03 20:11:05
Toulouse,11.88,10.85,10.45,11.99,1021,66,5.66,290,2023-04-03 07:32:58,2023-04-03 20:21:56
Nice,9.0,7.76,8.34,11.65,1012,55,2.33,156,2023-04-03 07:09:27,2023-04-03 19:58:59
Nantes,7.96,4.98,7.81,7.96,1025,76,5.14,60,2023-04-03 07:42:06,2023-04-03 20:37:00
Le Havre,9.51,7.34,9.51,9.86,1027,66,4.12,70,2023-04-03 07:33:11,2023-04-03 20:32:23
Lille,10.53,8.94,8.54,12.19,1028,50,5.66,50,2023-04-03 07:20:16,2023-04-03 20:21:42
Saint-Etienne,6.62,3.08,6.62,7.08,1019,87,5.66,340,2023-04-03 07:19:41,2023-04-03 20:11:33
Grenoble,1.98,-0.66,1.98,3.77,1017,93,2.48,332,2023-04-03 07:14:15,2023-04-03 20:05:32
Dijon,6.93,3.48,6.85,9.06,1022,76,5.66,20,2023-04-03 07:15:37,2023-04-03 20:10:42
Bordeaux,13.15,12.04,13.15,14.08,1022,58,3.6,50,2023-04-03 07:40:04,2023-04-03 20:31:01
Fort-de-France,25.97,25.97,24.86,25.97,1016,78,3.6,110,2023-04-03 11:58:31,2023-04-04 00:16:24
Saint-Denis,10.25,8.71,9.5,11.58,1026,53,7.72,40,2023-04-03 07:24:51,2023-04-03 20:22:55
Lens,11.22,9.68,11.05,11.96,1028,49,5.83,68,2023-04-03 07:21:23,2023-04-03 20:22:23
Pointe-à-Pitre,25.95,25.95,25.95,25.95,1016,73,3.6,90,2023-04-03 11:59:41,2023-04-04 00:18:55
Nouméa,24.99,25.76,24.99,24.99,1014,85,3.81,96,2023-04-02 21:02:10,2023-04-03 08:52:54
Saint-Paul,25.48,26.62,25.0,29.05,1013,97,0.45,203,2023-04-03 04:26:31,2023-04-03 16:17:51
Basse-Terre,24.58,25.0,24.58,24.58,1016,73,3.6,90,2023-04-03 12:00:15,2023-04-04 00:19:25
Saint-Pierre,26.81,29.16,24.76,26.82,1011,78,3.09,120,2023-04-03 04:25:49,2023-04-03 16:16:53
